id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3670285,Beach Apartment,18619513,Simon,,Manly,-33.78632,151.28321,Entire home/apt,185,90,0,,,1,78,0,
8461058,Modern home in leafy parkland.  Bedroom 1,44539333,Robyn,,Ryde,-33.79783,151.15607,Private room,100,1,99,2024-04-08,0.94,2,33,11,PID-STRA-7366
8461067,Modern Home in Leafy Parkland.  Bedroom 2.,44539333,Robyn,,Ryde,-33.79782,151.15561,Private room,100,1,37,2024-01-05,0.36,2,8,6,PID-STRA-7366
28227371,MANLY BEACH HOME ArtDeco+Private Alfresco+Garden,13807525,Elise,,Manly,-33.78842,151.28336,Entire home/apt,347,2,205,2024-06-02,3.03,1,324,45,Exempt
28230435,Manly: Beautiful 3 Bedroom apt with stunning views,161919115,Henrietta,,Manly,-33.80149,151.29053,Entire home/apt,736,5,43,2024-05-10,0.62,1,135,18,PID-STRA-14682
33811655,Beautiful garden view house private room,116447633,April,,Ryde,-33.78182,151.10153,Private room,70,1,65,2024-05-25,1.05,10,76,16,PID-STRA-29071
46855857,KULA - Classic Two Bed Apt Macquarie Park,297512659,Kula,,Ryde,-33.780210619496835,151.1125785112381,Entire home/apt,359,2,41,2023-09-30,0.97,8,354,3,PID-STRA-53913
742958221938762693,Historic 4br home in Manly with Bio-pool & sauna.,74032818,Lucinda,,Manly,-33.79869,151.27592,Entire home/apt,1600,2,1,2024-01-03,0.19,1,220,1,PID-STRA-42166
776542012611308432,Train~Ferry~ Supermarkets~Cafes~ King bed/Parking,177969371,Mandy Zhao,,Ryde,-33.81979162849586,151.0951156245558,Entire home/apt,194,2,43,2024-06-06,2.43,3,52,27,PID-STRA-45705
988047542970661162,Manly Gem 1br: Great Location near Beaches & Ferry,5215877,Milan,,Manly,-33.80225,151.28755,Entire home/apt,178,2,16,2024-04-25,1.96,51,264,16,PID-STRA-55637
1005216221681004361,The Studio - Manly,221097598,Veronique,,Manly,-33.7951333,151.2849229,Entire home/apt,,2,1,2023-12-09,0.16,1,1,1,PID-STRA-60140
11156,An Oasis in the City,40855,Colleen,,Sydney,-33.86767,151.22497,Private room,65,90,193,2020-03-13,1.09,1,364,0,
14250,Manly Harbour House,55948,Heidi,,Manly,-33.80084,151.26378,Entire home/apt,470,2,3,2021-06-01,0.03,2,151,0,Exempt
15253,Unique Designer Rooftop Apartment in City Location,59850,Morag,,Sydney,-33.87964,151.2168,Private room,107,1,568,2024-06-08,3.79,1,290,72,PID-STRA-24061-7
58506,"Studio Yindi @ Mosman, Sydney",279955,John,,Mosman,-33.81748,151.23484,Entire home/apt,190,2,416,2024-06-04,2.54,1,168,31,PID-STRA-2810
61721,"2br Eclectic Stylish Home, 2 mins to Bondi Beach",299170,Eilish,,Waverley,-33.88905,151.27653,Entire home/apt,245,90,33,2021-04-07,0.21,1,346,0,
68999,A little bit of Sydney - Australia,333581,Bryan,,Hornsby,-33.72966,151.05226,Private room,115,1,108,2024-06-02,0.68,1,233,14,PID-STRA-9081
71866,A Jewel Amongst Greenery,292913,Marzena,,Randwick,-33.91079861535685,151.2512006610632,Entire home/apt,201,3,20,2024-04-05,0.30,5,266,10,PID-STRA-23689
71867,Quiet and bright apt with green aspect,292913,Marzena,,Randwick,-33.90535,151.2529,Entire home/apt,261,2,0,,,5,46,0,PID-STRA-63764
